CUSIPs,yields,CPR,prices,,,,,,,,,,
3138M8DF7,5.164,6.127327767,93.13882384,,,,,,,,,,
3138XW4F2,5.076,6.127327767,92.56729351,,,,,,,,,,
3140Q7GL5,5.232,6.127327767,91.35769428,,,,,,,,,,
3140QKZS0,5.203,5.110826022,83.10181521,,,,,,,,,,
3140QBWE4,5.094,5.39829934,87.39277968,,,,,,,,,,
3140JVBD3,5.897,6.883802618,93.76543936,,,,,,,,,,
3138Y65P5,5.151,6.883802618,95.4489294,,,,,,,,,,
3140FCVX3,5.195,5.39829934,88.451898,,,,,,,,,,
3138WJMS4,5.092,5.39829934,88.451898,,,,,,,,,,
3138M3LW2,5.057,6.127327767,93.13882384,,,,,,,,,,
3138WWEK1,5.034,6.127327767,92.98574855,,,,,,,,,,
3138XXVW3,5.239,6.127327767,92.56729351,,,,,,,,,,
3138WXUC9,5.049,6.883802618,95.7889741,,,,,,,,,,
3138YWCK1,4.968,5.39829934,88.71837626,,,,,,,,,,
3140JNVR8,5.059,6.883802618,93.76743072,,,,,,,,,,
31421AMS9,5.126,6.883802618,96.48921314,,,,,,,,,,
31417LTK1,5.185,6.883802618,96.7160508,,,,,,,,,,
3138LVQX4,5.279,6.883802618,95.79824426,,,,,,,,,,
3138AYGU7,5.221,6.127327767,93.49656851,,,,,,,,,,
3138XWLV8,5.123,6.127327767,92.56729351,,,,,,,,,,
3138XVLW8,5.316,6.883802618,95.45192176,,,,,,,,,,
3138W7MV3,5.096,6.127327767,92.98574855,,,,,,,,,,
3138XDQE3,5.091,6.883802618,95.4489294,,,,,,,,,,
3140EY7F2,5.206,6.127327767,91.5325425,,,,,,,,,,
3138M1NJ3,5.123,6.127327767,93.13882384,,,,,,,,,,
3140F9UD5,5.121,6.883802618,94.44585351,,,,,,,,,,
3138X0KB3,5.503,6.883802618,95.78929656,,,,,,,,,,
3138MBTA4,5.237,5.39829934,90.65755891,,,,,,,,,,
3138MMMR0,5.054,5.39829934,90.65755891,,,,,,,,,,
3138X66Y6,5.204,5.030087778,88.14890752,,,,,,,,,,
3138XG2L6,5.032,6.127327767,92.98574855,,,,,,,,,,
3138LQ5W0,5.288,6.127327767,93.13882384,,,,,,,,,,
3140GV4Q5,5.098,6.127327767,91.35769428,,,,,,,,,,
3140FPTC3,5.232,6.127327767,91.52933959,,,,,,,,,,
3138YJUT1,5.086,6.127327767,91.90292191,,,,,,,,,,
3140KTXT7,5.204,3.998832117,79.72459568,,,,,,,,,,
31416KZA9,5.185,6.883802618,96.48476747,,,,,,,,,,
31419BVW2,5.176,6.127327767,93.52258407,,,,,,,,,,
3138WMSM4,5.296,6.127327767,92.98574855,,,,,,,,,,
31414LJA7,5.257,6.127327767,94.29976377,,,,,,,,,,
3138ATNR7,5.1,6.883802618,96.07215699,,,,,,,,,,
3138MH4X8,5.052,5.39829934,90.30653365,,,,,,,,,,
3138XXT63,5.194,6.883802618,95.4489294,,,,,,,,,,
3138YABC8,5.215,6.127327767,92.55448468,,,,,,,,,,
3138LU5Q4,5.09,6.127327767,93.13436378,,,,,,,,,,
3138XF4C6,5.148,6.127327767,92.98574855,,,,,,,,,,
3140L7MC3,5.109,5.110826022,83.12752077,,,,,,,,,,
3138ADP58,5.215,6.883802618,96.07215699,,,,,,,,,,
31417JSQ4,5.087,6.883802618,96.49114286,,,,,,,,,,
3140F8ZQ3,5.317,5.39829934,88.44194087,,,,,,,,,,
3138XY2B9,5.065,6.127327767,92.56729351,,,,,,,,,,
3138MK3J3,5.169,6.127327767,93.13436378,,,,,,,,,,
3138WKCP8,5.102,6.883802618,95.79824426,,,,,,,,,,
3138Y6S47,5.053,6.127327767,92.56729351,,,,,,,,,,
3138Y6FP4,5.217,6.883802618,95.4489294,,,,,,,,,,
3138M4JV5,5.114,5.39829934,90.65755891,,,,,,,,,,
3138M5J59,5.256,6.883802618,95.79862332,,,,,,,,,,
3138Y4RY7,5.219,6.127327767,92.56729351,,,,,,,,,,
3138ARPK4,5.188,6.127327767,93.49509002,,,,,,,,,,
3138AFRR3,5.004,6.883802618,96.07215699,,,,,,,,,,
3138M4SS2,5.082,6.127327767,93.13882384,,,,,,,,,,
3138Y43J6,5.072,6.127327767,92.56729351,,,,,,,,,,
3138E8ML3,5.211,6.127327767,93.13882384,,,,,,,,,,
3138M9BC4,5.421,6.127327767,93.14629885,,,,,,,,,,
3140K3JB9,5.082,6.127327767,90.70831805,,,,,,,,,,
3138AJPN6,5.106,6.883802618,96.07215699,,,,,,,,,,
3138MRGY1,5.197,6.127327767,93.13436378,,,,,,,,,,
3138XHWW7,5.003,6.883802618,95.79814468,,,,,,,,,,
3138M0A59,5.126,6.883802618,95.79824426,,,,,,,,,,
3140HAET3,5.075,9.626267284,96.28811341,,,,,,,,,,
3140FGY86,5.251,5.39829934,88.451898,,,,,,,,,,
3140KX7A8,5.556,3.998832117,79.86650658,,,,,,,,,,
3140FP5W5,6.209,6.883802618,94.45799552,,,,,,,,,,
3138E0RJ0,5.151,6.883802618,96.07119793,,,,,,,,,,
3138LTLG1,5.15,6.127327767,93.13882384,,,,,,,,,,
3138ASWZ1,5.032,6.883802618,96.07215699,,,,,,,,,,
31419L4T7,5.135,6.883802618,96.48830216,,,,,,,,,,
3138WFPU4,5.411,6.883802618,94.73039658,,,,,,,,,,
3138XVG95,5.215,6.127327767,92.57856773,,,,,,,,,,
3138WMSH5,5.386,6.127327767,92.98574855,,,,,,,,,,
3138WRBJ8,5.376,5.39829934,90.30653365,,,,,,,,,,
3140E8SF6,5.167,6.127327767,91.5325425,,,,,,,,,,
3138A4ED3,5.206,6.883802618,96.47750614,,,,,,,,,,
31419DQQ7,5.157,7.116129075,97.07776326,,,,,,,,,,
3138WXET0,5.163,6.127327767,92.98349467,,,,,,,,,,
3138Y2A29,5.223,6.883802618,95.44570452,,,,,,,,,,
3138YWCE5,5.043,6.883802618,94.73039658,,,,,,,,,,
3138Y8AJ9,5.283,6.127327767,91.89959416,,,,,,,,,,
3140QALY4,5.203,6.883802618,93.95065606,,,,,,,,,,
3138MQWL3,5.252,5.39829934,90.65755891,,,,,,,,,,
3140GSNX6,5.126,6.127327767,91.3794367,,,,,,,,,,
3138W4ZL8,5.188,6.127327767,93.14652487,,,,,,,,,,
3138W6E51,5.227,6.127327767,92.98349467,,,,,,,,,,
3138EEDG1,5.185,6.883802618,95.79824426,,,,,,,,,,
3138Y34N8,5.224,6.883802618,95.4489294,,,,,,,,,,
3138X63R4,5.247,6.883802618,95.78929656,,,,,,,,,,
3138ANCT8,5.067,6.127327767,93.49656851,,,,,,,,,,
3140FPCG2,5.197,6.127327767,91.34565089,,,,,,,,,,
3138LWLW9,5.212,5.39829934,90.65755891,,,,,,,,,,
3138Y8J68,5.261,9.626267284,93.01623798,,,,,,,,,,
31418PZ73,5.27,6.883802618,96.48476747,,,,,,,,,,
3140FSDZ3,5.096,6.883802618,94.21686506,,,,,,,,,,
3138W5VL9,5.349,6.127327767,92.98349467,,,,,,,,,,
3140QGD46,4.98,3.204341829,74.96436309,,,,,,,,,,
3138ECQ71,5.026,6.883802618,95.79862332,,,,,,,,,,
3140FST94,5.364,6.127327767,91.34259714,,,,,,,,,,
3140FUAL2,5.087,6.127327767,91.5325425,,,,,,,,,,
3140E1LM3,5.117,6.883802618,94.73464361,,,,,,,,,,
3140FKFE5,5.22,6.883802618,94.44585351,,,,,,,,,,
3140HB3U0,5.078,5.39829934,87.38828297,,,,,,,,,,
3140KK3W2,5.126,3.998832117,79.8057611,,,,,,,,,,
3138WD2X8,5.159,6.127327767,92.55448468,,,,,,,,,,
3140K03X4,5.031,5.39829934,87.4250653,,,,,,,,,,
3138ECQF3,5.23,6.127327767,93.14313761,,,,,,,,,,
3138WBAT2,5.219,6.883802618,95.7889741,,,,,,,,,,
3138XW4C9,5.091,6.883802618,93.96697778,,,,,,,,,,
3140LQTX8,5.219,3.998832117,79.46028118,,,,,,,,,,
3140HMGN8,5.264,6.127327767,90.99208984,,,,,,,,,,
3140JNAB6,5.168,6.127327767,91.38416418,,,,,,,,,,
3138YVX53,5.074,5.39829934,88.71837626,,,,,,,,,,
3138MCTB0,5.118,4.606141635,88.22805224,,,,,,,,,,
3140FB5G1,5.269,5.39829934,88.451898,,,,,,,,,,
3138W4B83,5.172,6.883802618,95.78304479,,,,,,,,,,
3138W7N26,5.118,6.127327767,92.98574855,,,,,,,,,,
3138LQ5R1,5.038,6.883802618,95.79824426,,,,,,,,,,
